Track,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,
Hungaroring,01:19.1,01:21.2,01:23.5,01:20.0,01:21.2,01:21.9,01:22.4,01:23.4,01:24.1,01:24.1,01:25.7,01:24.8,01:23.1,01:20.2,01:20.0,01:17.1,01:16.6,01:18.4,01:21.4,01:20.5,,,,,,,,,,,,,,,,,,,,,
Autodromo Nazionale di Monza,01:21.0,01:21.5,01:22.6,01:22.9,01:28.0,01:24.7,01:24.1,01:26.2,01:27.2,01:25.8,01:28.0,01:26.7,01:25.3,01:23.4,01:22.5,01:21.8,01:22.7,01:24.8,01:24.0,,,,,,,,,,,,,,,,,,,,,,
Indianapolis Motor Speedway,01:10.4,01:11.5,01:12.7,01:13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circuit de Barcelona-Catalunya,01:17.5,01:15.6,01:16.6,01:22.7,01:21.7,01:22.8,01:24.4,01:26.7,01:26.3,01:26.2,01:28.9,01:28.3,01:26.9,01:23.6,01:18.4,01:18.5,01:18.2,01:18.1,01:24.1,01:16.3,,,,,,,,,,,,,,,,,,,,,
Albert Park Grand Prix Circuit,01:24.1,01:25.7,01:26.0,01:25.2,01:27.4,01:27.7,01:28.4,01:28.9,01:29.2,01:29.3,01:32.5,01:30.9,01:29.0,01:26.5,01:25.9,01:25.6,,,01:20.3,01:20.2,,,,,,,,,,,,,,,,,,,,,
Suzuka Circuit,01:32.7,01:31.5,01:32.7,,,01:32.6,01:33.5,01:36.6,01:35.8,01:34.6,01:51.6,01:36.1,01:35.1,01:33.1,01:32.3,01:31.0,,,01:44.4,,,,,,,,,,,,,,,,,,,,,,
Silverstone Circuit,01:18.7,01:20.5,01:21.6,01:20.6,01:32.1,01:20.7,01:30.9,01:34.9,01:34.7,01:33.4,01:37.2,01:37.1,01:35.5,01:30.6,01:30.7,01:27.4,01:27.1,01:28.6,01:30.5,01:30.3,,,,,,,,,,,,,,,,,,,,,
Marina Bay Street Circuit,,,,,01:45.6,01:48.2,01:48.0,01:48.5,01:51.0,01:48.6,01:50.4,01:50.0,01:47.2,01:45.0,01:41.9,01:42.3,,,01:46.5,,,,,,,,,,,,,,,,,,,,,,
Circuit de Spa-Francorchamps,01:45.1,01:51.5,,01:48.0,01:47.9,01:47.3,01:49.1,01:49.9,01:52.8,01:50.8,01:50.5,01:52.4,01:51.6,01:46.6,01:46.3,01:46.4,01:47.5,,01:49.4,01:47.3,,,,,,,,,,,,,,,,,,,,,
Nürburgring,01:29.5,01:30.7,01:32.1,01:32.9,,01:33.4,,01:34.3,,01:33.5,,,,,,,01:28.1,,,,,,,,,,,,,,,,,,,,,,,,
