_id,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year
6525f3fe35c39ef20d60f863,1,18,1,1,22,1,1,1,1,10,58,1:34:50.616,5690616,39,2,1:27.452,218.3,1,2008
6525f3fe35c39ef20d60f864,2,18,2,2,3,5,2,2,2,8,58,+5.478,5696094,41,3,1:27.739,217.586,1,2008
6525f3fe35c39ef20d60f865,3,18,3,3,7,7,3,3,3,6,58,+8.163,5698779,41,5,1:28.090,216.719,1,2008
6525f3fe35c39ef20d60f866,4,18,4,4,5,11,4,4,4,5,58,+17.181,5707797,58,7,1:28.603,215.464,1,2008
6525f3fe35c39ef20d60f867,5,18,5,1,23,3,5,5,5,4,58,+18.014,5708630,43,1,1:27.418,218.385,1,2008
6525f3fe35c39ef20d60f868,6,18,6,3,8,13,6,6,6,3,57,\N,\N,50,14,1:29.639,212.974,11,2008
6525f3fe35c39ef20d60f869,7,18,7,5,14,17,7,7,7,2,55,\N,\N,22,12,1:29.534,213.224,5,2008
6525f3fe35c39ef20d60f86a,8,18,8,6,1,15,8,8,8,1,53,\N,\N,20,4,1:27.903,217.18,5,2008
6525f3fe35c39ef20d60f86b,9,18,9,2,4,2,\N,R,9,0,47,\N,\N,15,9,1:28.753,215.1,4,2008
6525f3fe35c39ef20d60f86c,10,18,10,7,12,18,\N,R,10,0,43,\N,\N,23,13,1:29.558,213.166,3,2008
6525f3fe35c39ef20d60f86d,11,18,11,8,18,19,\N,R,11,0,32,\N,\N,24,15,1:30.892,210.038,7,2008
6525f3fe35c39ef20d60f86e,12,18,12,4,6,20,\N,R,12,0,30,\N,\N,20,16,1:31.384,208.907,8,2008
6525f3fe35c39ef20d60f86f,13,18,13,6,2,4,\N,R,13,0,29,\N,\N,23,6,1:28.175,216.51,5,2008
6525f3fe35c39ef20d60f870,14,18,14,9,9,8,\N,R,14,0,25,\N,\N,21,11,1:29.502,213.3,4,2008
6525f3fe35c39ef20d60f871,15,18,15,7,11,6,\N,R,15,0,19,\N,\N,18,10,1:29.310,213.758,10,2008
6525f3fe35c39ef20d60f872,16,18,16,10,20,22,\N,R,16,0,8,\N,\N,8,17,1:32.021,207.461,9,2008
6525f3fe35c39ef20d60f873,17,18,17,9,10,14,\N,R,17,0,0,\N,\N,\N,\N,\N,\N,4,2008
6525f3fe35c39ef20d60f874,18,18,18,11,16,12,\N,R,18,0,0,\N,\N,\N,\N,\N,\N,4,2008
6525f3fe35c39ef20d60f875,19,18,19,8,19,21,\N,R,19,0,0,\N,\N,\N,\N,\N,\N,4,2008
6525f3fe35c39ef20d60f876,20,18,20,5,15,9,\N,R,20,0,0,\N,\N,\N,\N,\N,\N,4,2008
6525f3fe35c39ef20d60f877,21,18,21,10,21,16,\N,R,21,0,0,\N,\N,\N,\N,\N,\N,4,2008
